,Belfast Centre,,,,,,,,,
Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status
15/05/1995,46,V µg/m³,10,V µg/m³,35,V µg/m³,45,V µg/m³,0.6,V mg/m³
16/05/1995,52,V µg/m³,13,V µg/m³,36,V µg/m³,46,V µg/m³,1.1,V mg/m³
17/05/1995,54,V µg/m³,10,V µg/m³,35,V µg/m³,42,V µg/m³,1.3,V mg/m³
18/05/1995,50,V µg/m³,11,V µg/m³,34,V µg/m³,28,V µg/m³,1.3,V mg/m³
19/05/1995,55,V µg/m³,13,V µg/m³,31,V µg/m³,24,V µg/m³,1.6,V mg/m³
20/05/1995,51,V µg/m³,12,V µg/m³,37,V µg/m³,26,V µg/m³,1,V mg/m³
21/05/1995,50,V µg/m³,11,V µg/m³,28,V µg/m³,24,V µg/m³,1.2,V mg/m³
22/05/1995,52,V µg/m³,10,V µg/m³,37,V µg/m³,16,V µg/m³,1.5,V mg/m³
23/05/1995,90,V µg/m³,8,V µg/m³,38,V µg/m³,19,V µg/m³,nodata,V mg/m³
24/05/1995,65,V µg/m³,19,V µg/m³,63,V µg/m³,25,V µg/m³,1,V mg/m³
25/05/1995,45,V µg/m³,11,V µg/m³,34,V µg/m³,12,V µg/m³,0.8,V mg/m³
26/05/1995,46,V µg/m³,11,V µg/m³,26,V µg/m³,14,V µg/m³,0.9,V mg/m³
27/05/1995,60,V µg/m³,4,V µg/m³,21,V µg/m³,6,V µg/m³,0.7,V mg/m³
28/05/1995,68,V µg/m³,5,V µg/m³,14,V µg/m³,9,V µg/m³,1,V mg/m³
29/05/1995,53,V µg/m³,15,V µg/m³,28,V µg/m³,18,V µg/m³,1.2,V mg/m³
30/05/1995,60,V µg/m³,7,V µg/m³,23,V µg/m³,16,V µg/m³,1.3,V mg/m³
31/05/1995,49,V µg/m³,13,V µg/m³,30,V µg/m³,18,V µg/m³,1.4,V mg/m³
01/06/1995,53,V µg/m³,9,V µg/m³,30,V µg/m³,16,V µg/m³,0.9,V mg/m³
02/06/1995,47,V µg/m³,11,V µg/m³,32,V µg/m³,15,V µg/m³,0.7,V mg/m³
03/06/1995,45,V µg/m³,7,V µg/m³,23,V µg/m³,19,V µg/m³,0.7,V mg/m³
04/06/1995,66,V µg/m³,2,V µg/m³,10,V µg/m³,15,V µg/m³,0.8,V mg/m³
05/06/1995,36,V µg/m³,16,V µg/m³,32,V µg/m³,34,V µg/m³,1,V mg/m³
06/06/1995,31,V µg/m³,17,V µg/m³,25,V µg/m³,19,V µg/m³,1.1,V mg/m³
07/06/1995,63,V µg/m³,5,V µg/m³,14,V µg/m³,13,V µg/m³,0.7,V mg/m³
08/06/1995,64,V µg/m³,5,V µg/m³,16,V µg/m³,11,V µg/m³,0.3,V mg/m³
09/06/1995,52,V µg/m³,7,V µg/m³,17,V µg/m³,12,V µg/m³,0.3,V mg/m³
10/06/1995,36,V µg/m³,5,V µg/m³,14,V µg/m³,10,V µg/m³,0.3,V mg/m³
11/06/1995,56,V µg/m³,9,V µg/m³,19,V µg/m³,11,V µg/m³,0.2,V mg/m³
12/06/1995,41,V µg/m³,12,V µg/m³,37,V µg/m³,45,V µg/m³,0.4,V mg/m³
13/06/1995,36,V µg/m³,19,V µg/m³,44,V µg/m³,67,V µg/m³,0.3,V mg/m³
14/06/1995,38,V µg/m³,9,V µg/m³,28,V µg/m³,20,V µg/m³,0.6,V mg/m³
15/06/1995,38,V µg/m³,11,V µg/m³,16,V µg/m³,6,V µg/m³,0.9,V mg/m³
16/06/1995,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V mg/m³
17/06/1995,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,nodata,V mg/m³
18/06/1995,56,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,11,V µg/m³,0.5,V mg/m³
19/06/1995,18,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,20,V µg/m³,0.8,V mg/m³
20/06/1995,32,V µg/m³,nodata,V µg/m³,nodata,V µg/m³,29,V µg/m³,0.4,V mg/m³
21/06/1995,29,V µg/m³,15,V µg/m³,34,V µg/m³,43,V µg/m³,0.5,V mg/m³
22/06/1995,31,V µg/m³,23,V µg/m³,48,V µg/m³,59,V µg/m³,1,V mg/m³
23/06/1995,26,V µg/m³,20,V µg/m³,43,V µg/m³,56,V µg/m³,0.7,V mg/m³
24/06/1995,38,V µg/m³,14,V µg/m³,38,V µg/m³,73,V µg/m³,0.5,V mg/m³
25/06/1995,51,V µg/m³,8,V µg/m³,28,V µg/m³,58,V µg/m³,0.8,V mg/m³
26/06/1995,48,V µg/m³,11,V µg/m³,37,V µg/m³,25,V µg/m³,0.7,V mg/m³
27/06/1995,68,V µg/m³,6,V µg/m³,38,V µg/m³,39,V µg/m³,0.5,V mg/m³
28/06/1995,52,V µg/m³,16,V µg/m³,60,V µg/m³,51,V µg/m³,0.4,V mg/m³
29/06/1995,58,V µg/m³,16,V µg/m³,85,V µg/m³,42,V µg/m³,0.7,V mg/m³
30/06/1995,51,V µg/m³,7,V µg/m³,37,V µg/m³,14,V µg/m³,0.6,V mg/m³
01/07/1995,60,V µg/m³,5,V µg/m³,24,V µg/m³,16,V µg/m³,0.5,V mg/m³
02/07/1995,52,V µg/m³,5,V µg/m³,21,V µg/m³,12,V µg/m³,0.6,V mg/m³
03/07/1995,57,V µg/m³,11,V µg/m³,24,V µg/m³,7,V µg/m³,0.6,V mg/m³
04/07/1995,50,V µg/m³,8,V µg/m³,20,V µg/m³,9,V µg/m³,0.6,V mg/m³
05/07/1995,31,V µg/m³,18,V µg/m³,30,V µg/m³,16,V µg/m³,0.7,V mg/m³
06/07/1995,28,V µg/m³,17,V µg/m³,33,V µg/m³,16,V µg/m³,0.8,V mg/m³
07/07/1995,37,V µg/m³,11,V µg/m³,32,V µg/m³,14,V µg/m³,0.5,V mg/m³
08/07/1995,33,V µg/m³,6,V µg/m³,31,V µg/m³,32,V µg/m³,0.5,V mg/m³
09/07/1995,62,V µg/m³,4,V µg/m³,25,V µg/m³,17,V µg/m³,0.4,V mg/m³
10/07/1995,66,V µg/m³,8,V µg/m³,33,V µg/m³,10,V µg/m³,0.6,V mg/m³
11/07/1995,46,V µg/m³,13,V µg/m³,50,V µg/m³,14,V µg/m³,1,V mg/m³
12/07/1995,64,V µg/m³,3,V µg/m³,13,V µg/m³,6,V µg/m³,0.7,V mg/m³
13/07/1995,68,V µg/m³,3,V µg/m³,13,V µg/m³,6,V µg/m³,0.7,V mg/m³
14/07/1995,48,V µg/m³,11,V µg/m³,33,V µg/m³,8,V µg/m³,0.9,V mg/m³
15/07/1995,52,V µg/m³,5,V µg/m³,24,V µg/m³,13,V µg/m³,0.8,V mg/m³
16/07/1995,56,V µg/m³,3,V µg/m³,14,V µg/m³,8,V µg/m³,0.7,V mg/m³
17/07/1995,31,V µg/m³,19,V µg/m³,36,V µg/m³,22,V µg/m³,0.7,V mg/m³
